anchorRow,leafRows,unit,unitType,psp,careType,sqft,moveIn,capacity,occupied,secFold,basicUnitCode,groupUnitCode
15,15;16,101,Studio,P,IL,420,2019-01-01,1,1,1,"IL - Studio (420 SF)","IL | Studio | A"
16,16,101,Studio,S,IL,0,,0,0,1,"IL - Studio (420 SF)","IL | Studio | A"
18,18,102,Studio,P,IL,420,2020-08-14,1,1,0,"IL - Studio (420 SF)","IL | Studio | A"
20,20;21,103,Studio,P,IL,420,2021-03-27,1,1,1,"IL - Studio (420 SF)","IL | Studio | A"
21,21,103,Studio,S,IL,0,,0,0,1,"IL - Studio (420 SF)","IL | Studio | A"
23,23,104,Studio,P,IL,420,,1,0,0,"IL - Studio (420 SF)","IL | Studio | A"
25,25,105,Studio,P,IL,420,2022-10-13,1,1,0,"IL - Studio (420 SF)","IL | Studio | A"
27,27,106,Studio,P,IL,420,2026-04-08,1,1,0,"IL - Studio (420 SF)","IL | Studio | A"
29,29,107,Studio,P,IL,420,2024-12-12,1,1,0,"IL - Studio (420 SF)","IL | Studio | A"
31,31,108,Studio,P,IL,420,2025-07-25,1,1,0,"IL - Studio (420 SF)","IL | Studio | A"
33,33,109,One Bedroom,P,IL,610,2026-02-12,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
35,35;36,110,One Bedroom,P,IL,610,2019-09-24,1,1,1,"IL - 1BR (610 SF)","IL | 1BR | A"
36,36,110,One Bedroom,S,IL,0,,0,0,1,"IL - 1BR (610 SF)","IL | 1BR | A"
38,38,111,One Bedroom,P,IL,610,2020-04-10,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
40,40,112,One Bedroom,P,IL,610,2021-11-23,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
42,42,113,One Bedroom,P,IL,610,2022-06-09,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
44,44,114,One Bedroom,P,IL,610,2023-01-22,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
46,46,115,One Bedroom,P,IL,610,2024-08-08,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
48,48,116,One Bedroom,P,IL,610,2025-03-21,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
50,50,117,One Bedroom,P,IL,610,2026-01-13,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
52,52,118,One Bedroom,P,IL,610,2019-05-20,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
54,54,119,One Bedroom,P,IL,610,,1,0,0,"IL - 1BR (610 SF)","IL | 1BR | A"
56,56,120,One Bedroom,P,IL,610,2020-12-06,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
58,58,121,One Bedroom,P,IL,610,2021-07-19,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
60,60;61,122,One Bedroom,P,IL,610,2022-02-05,1,1,1,"IL - 1BR (610 SF)","IL | 1BR | A"
61,61,122,One Bedroom,S,IL,0,,0,0,1,"IL - 1BR (610 SF)","IL | 1BR | A"
63,63,123,One Bedroom,P,IL,610,2023-09-18,1,1,0,"IL - 1BR (610 SF)","IL | 1BR | A"
